entity_id,period_id,period,year,month,entity_period_id,company_id,company_name
1,1,P1-20,2020,1,1001,0,haptiq
1,2,P2-20,2020,2,1002,0,haptiq
1,3,P3-20,2020,3,1003,0,haptiq
1,4,P4-20,2020,4,1004,0,haptiq
1,5,P5-20,2020,5,1005,0,haptiq
1,6,P6-20,2020,6,1006,0,haptiq
1,7,P7-20,2020,7,1007,0,haptiq
1,8,P8-20,2020,8,1008,0,haptiq
1,9,P9-20,2020,9,1009,0,haptiq
1,10,P10-20,2020,10,1010,0,haptiq
1,11,P11-20,2020,11,1011,0,haptiq
1,12,P12-20,2020,12,1012,0,haptiq
1,13,P1-21,2021,1,1013,0,haptiq
1,14,P2-21,2021,2,1014,0,haptiq
1,15,P3-21,2021,3,1015,0,haptiq
1,16,P4-21,2021,4,1016,0,haptiq
1,17,P5-21,2021,5,1017,0,haptiq
1,18,P6-21,2021,6,1018,0,haptiq
1,19,P7-21,2021,7,1019,0,haptiq
1,20,P8-21,2021,8,1020,0,haptiq
1,21,P9-21,2021,9,1021,0,haptiq
1,22,P10-21,2021,10,1022,0,haptiq
1,23,P11-21,2021,11,1023,0,haptiq
1,24,P12-21,2021,12,1024,0,haptiq
1,25,P1-22,2022,1,1025,0,haptiq
1,26,P2-22,2022,2,1026,0,haptiq
1,27,P3-22,2022,3,1027,0,haptiq
1,28,P4-22,2022,4,1028,0,haptiq
1,29,P5-22,2022,5,1029,0,haptiq
1,30,P6-22,2022,6,1030,0,haptiq
1,31,P7-22,2022,7,1031,0,haptiq
1,32,P8-22,2022,8,1032,0,haptiq
1,33,P9-22,2022,9,1033,0,haptiq
1,34,P10-22,2022,10,1034,0,haptiq
1,35,P11-22,2022,11,1035,0,haptiq
1,36,P12-22,2022,12,1036,0,haptiq
1,37,P1-23,2023,1,1037,0,haptiq
1,38,P2-23,2023,2,1038,0,haptiq
1,39,P3-23,2023,3,1039,0,haptiq
1,40,P4-23,2023,4,1040,0,haptiq
1,41,P5-23,2023,5,1041,0,haptiq
1,42,P6-23,2023,6,1042,0,haptiq
1,43,P7-23,2023,7,1043,0,haptiq
1,44,P8-23,2023,8,1044,0,haptiq
1,45,P9-23,2023,9,1045,0,haptiq
1,46,P10-23,2023,10,1046,0,haptiq
1,47,P11-23,2023,11,1047,0,haptiq
1,48,P12-23,2023,12,1048,0,haptiq
1,49,P1-24,2024,1,1049,0,haptiq
1,50,P2-24,2024,2,1050,0,haptiq
1,51,P3-24,2024,3,1051,0,haptiq
1,52,P4-24,2024,4,1052,0,haptiq
1,53,P5-24,2024,5,1053,0,haptiq
1,54,P6-24,2024,6,1054,0,haptiq
2,1,P1-20,2020,1,2001,0,haptiq
2,2,P2-20,2020,2,2002,0,haptiq
2,3,P3-20,2020,3,2003,0,haptiq
2,4,P4-20,2020,4,2004,0,haptiq
2,5,P5-20,2020,5,2005,0,haptiq
2,6,P6-20,2020,6,2006,0,haptiq
2,7,P7-20,2020,7,2007,0,haptiq
2,8,P8-20,2020,8,2008,0,haptiq
2,9,P9-20,2020,9,2009,0,haptiq
2,10,P10-20,2020,10,2010,0,haptiq
2,11,P11-20,2020,11,2011,0,haptiq
2,12,P12-20,2020,12,2012,0,haptiq
2,13,P1-21,2021,1,2013,0,haptiq
2,14,P2-21,2021,2,2014,0,haptiq
2,15,P3-21,2021,3,2015,0,haptiq
2,16,P4-21,2021,4,2016,0,haptiq
2,17,P5-21,2021,5,2017,0,haptiq
2,18,P6-21,2021,6,2018,0,haptiq
2,19,P7-21,2021,7,2019,0,haptiq
2,20,P8-21,2021,8,2020,0,haptiq
2,21,P9-21,2021,9,2021,0,haptiq
2,22,P10-21,2021,10,2022,0,haptiq
2,23,P11-21,2021,11,2023,0,haptiq
2,24,P12-21,2021,12,2024,0,haptiq
