period_id,period,year,month,company_id,company_name
1,P1-20,2020,1,0,haptiq
2,P2-20,2020,2,0,haptiq
3,P3-20,2020,3,0,haptiq
4,P4-20,2020,4,0,haptiq
5,P5-20,2020,5,0,haptiq
6,P6-20,2020,6,0,haptiq
7,P7-20,2020,7,0,haptiq
8,P8-20,2020,8,0,haptiq
9,P9-20,2020,9,0,haptiq
10,P10-20,2020,10,0,haptiq
11,P11-20,2020,11,0,haptiq
12,P12-20,2020,12,0,haptiq
13,P1-21,2021,1,0,haptiq
14,P2-21,2021,2,0,haptiq
15,P3-21,2021,3,0,haptiq
16,P4-21,2021,4,0,haptiq
17,P5-21,2021,5,0,haptiq
18,P6-21,2021,6,0,haptiq
19,P7-21,2021,7,0,haptiq
20,P8-21,2021,8,0,haptiq
21,P9-21,2021,9,0,haptiq
22,P10-21,2021,10,0,haptiq
23,P11-21,2021,11,0,haptiq
24,P12-21,2021,12,0,haptiq
25,P1-22,2022,1,0,haptiq
26,P2-22,2022,2,0,haptiq
27,P3-22,2022,3,0,haptiq
28,P4-22,2022,4,0,haptiq
29,P5-22,2022,5,0,haptiq
30,P6-22,2022,6,0,haptiq
31,P7-22,2022,7,0,haptiq
32,P8-22,2022,8,0,haptiq
33,P9-22,2022,9,0,haptiq
34,P10-22,2022,10,0,haptiq
35,P11-22,2022,11,0,haptiq
36,P12-22,2022,12,0,haptiq
37,P1-23,2023,1,0,haptiq
38,P2-23,2023,2,0,haptiq
39,P3-23,2023,3,0,haptiq
40,P4-23,2023,4,0,haptiq
41,P5-23,2023,5,0,haptiq
42,P6-23,2023,6,0,haptiq
43,P7-23,2023,7,0,haptiq
44,P8-23,2023,8,0,haptiq
45,P9-23,2023,9,0,haptiq
46,P10-23,2023,10,0,haptiq
47,P11-23,2023,11,0,haptiq
48,P12-23,2023,12,0,haptiq
49,P1-24,2024,1,0,haptiq
50,P2-24,2024,2,0,haptiq
51,P3-24,2024,3,0,haptiq
52,P4-24,2024,4,0,haptiq
53,P5-24,2024,5,0,haptiq
54,P6-24,2024,6,0,haptiq
