week_date,year,month,week_of_year,week_of_month,period,category_name,subcategory_name,metric_order,gl_name,gl_number,mtd,ytd,ttm,wtd,predicted_wtd
2021-01-03,2021,1,53,1,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,128.75,-686.21,-686.21,29.665898617511523,0
2021-01-10,2021,1,1,2,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,128.75,-686.21,-686.21,29.665898617511523,29.665898617511523
2021-01-17,2021,1,2,3,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,128.75,-686.21,-686.21,29.665898617511523,29.665898617511523
2021-01-24,2021,1,3,4,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,128.75,-686.21,-686.21,29.665898617511523,29.665898617511523
2021-01-31,2021,1,4,5,P1-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,128.75,-686.21,-686.21,29.665898617511523,29.665898617511523
2021-02-07,2021,2,5,1,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,27.600000000000023,-1344.82,-1344.82,6.359447004608301,29.665898617511523
2021-02-14,2021,2,6,2,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,27.600000000000023,-1344.82,-1344.82,6.359447004608301,6.359447004608299
2021-02-21,2021,2,7,3,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,27.600000000000023,-1344.82,-1344.82,6.359447004608301,6.359447004608301
2021-02-28,2021,2,8,4,P2-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,27.600000000000023,-1344.82,-1344.82,6.359447004608301,6.359447004608301
2021-03-07,2021,3,9,1,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,20.370000000000005,-1983.06,-1983.06,4.693548387096776,6.359447004608301
2021-03-14,2021,3,10,2,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,20.370000000000005,-1983.06,-1983.06,4.693548387096776,4.693548387096776
2021-03-21,2021,3,11,3,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,20.370000000000005,-1983.06,-1983.06,4.693548387096776,4.693548387096776
2021-03-28,2021,3,12,4,P3-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,20.370000000000005,-1983.06,-1983.06,4.693548387096776,4.693548387096776
2021-04-04,2021,4,13,1,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,46.14999999999998,-2575.15,-2575.15,10.633640552995386,4.693548387096776
2021-04-11,2021,4,14,2,P4-21,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,46.14999999999998,-2575.15,-2575.15,10.633640552995386,10.633640552995386
