period_id,period,year,month,company_id,company_name
1,P1-20,2020,1,6,pink_taco
2,P2-20,2020,2,6,pink_taco
3,P3-20,2020,3,6,pink_taco
4,P4-20,2020,4,6,pink_taco
5,P5-20,2020,5,6,pink_taco
6,P6-20,2020,6,6,pink_taco
7,P7-20,2020,7,6,pink_taco
8,P8-20,2020,8,6,pink_taco
9,P9-20,2020,9,6,pink_taco
10,P10-20,2020,10,6,pink_taco
11,P11-20,2020,11,6,pink_taco
12,P12-20,2020,12,6,pink_taco
13,P1-21,2021,1,6,pink_taco
14,P2-21,2021,2,6,pink_taco
15,P3-21,2021,3,6,pink_taco
16,P4-21,2021,4,6,pink_taco
17,P5-21,2021,5,6,pink_taco
18,P6-21,2021,6,6,pink_taco
19,P7-21,2021,7,6,pink_taco
20,P8-21,2021,8,6,pink_taco
21,P9-21,2021,9,6,pink_taco
22,P10-21,2021,10,6,pink_taco
23,P11-21,2021,11,6,pink_taco
24,P12-21,2021,12,6,pink_taco
25,P1-22,2022,1,6,pink_taco
26,P2-22,2022,2,6,pink_taco
27,P3-22,2022,3,6,pink_taco
28,P4-22,2022,4,6,pink_taco
29,P5-22,2022,5,6,pink_taco
30,P6-22,2022,6,6,pink_taco
31,P7-22,2022,7,6,pink_taco
32,P8-22,2022,8,6,pink_taco
33,P9-22,2022,9,6,pink_taco
34,P10-22,2022,10,6,pink_taco
35,P11-22,2022,11,6,pink_taco
36,P12-22,2022,12,6,pink_taco
37,P1-23,2023,1,6,pink_taco
38,P2-23,2023,2,6,pink_taco
39,P3-23,2023,3,6,pink_taco
40,P4-23,2023,4,6,pink_taco
41,P5-23,2023,5,6,pink_taco
42,P6-23,2023,6,6,pink_taco
43,P7-23,2023,7,6,pink_taco
44,P8-23,2023,8,6,pink_taco
45,P9-23,2023,9,6,pink_taco
46,P10-23,2023,10,6,pink_taco
47,P11-23,2023,11,6,pink_taco
48,P12-23,2023,12,6,pink_taco
49,P1-24,2024,1,6,pink_taco
50,P2-24,2024,2,6,pink_taco
51,P3-24,2024,3,6,pink_taco
52,P4-24,2024,4,6,pink_taco
53,P5-24,2024,5,6,pink_taco
54,P6-24,2024,6,6,pink_taco
