date,wtd,year,month,country_name,category_name,gl_name,gl_number,metric_order,country_id,type
2025-01-05,1965922.230000008,2025,1,Australia,Cash & cash equivalent at beginning of period,,,1,5,Actual
2025-01-12,1918414.079346,2025,1,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-01-19,1918414.079346,2025,1,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-01-26,1918414.079346,2025,1,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-02-02,1918414.079346,2025,2,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-02-09,1918414.079346,2025,2,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-02-16,1918414.079346,2025,2,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-02-23,1918414.079346,2025,2,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-03-02,1918414.079346,2025,3,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-03-09,1918414.079346,2025,3,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-03-16,1918414.079346,2025,3,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-03-23,1918414.079346,2025,3,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-03-30,1918414.079346,2025,3,Australia,Cash & cash equivalent at beginning of period,,,1,5,Predicted
2025-01-05,1971667.870000011,2025,1,Australia,Cash & cash equivalent at end of period,,,5,5,Actual
2025-01-12,1918414.079346,2025,1,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-01-19,1918414.079346,2025,1,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-01-26,1918414.079346,2025,1,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-02-02,1918414.079346,2025,2,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-02-09,1918414.079346,2025,2,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-02-16,1918414.079346,2025,2,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-02-23,1918414.079346,2025,2,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-03-02,1918414.079346,2025,3,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-03-09,1918414.079346,2025,3,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-03-16,1918414.079346,2025,3,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-03-23,1918414.079346,2025,3,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-03-30,1918414.079346,2025,3,Australia,Cash & cash equivalent at end of period,,,5,5,Predicted
2025-01-05,0.0,2025,1,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Actual
2025-01-12,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-01-19,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-01-26,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-02-02,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-02-09,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-02-16,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-02-23,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-03-02,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-03-09,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-03-16,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-03-23,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-03-30,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Furniture & Fixtures (AU),1610005.0,3,5,Predicted
2025-01-05,0.0,2025,1,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Actual
2025-01-12,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-01-19,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-01-26,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-02-02,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-02-09,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-02-16,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-02-23,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-03-02,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-03-09,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-03-16,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-03-23,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-03-30,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Leashold Improvements (AU),1640005.0,3,5,Predicted
2025-01-05,0.0,2025,1,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Actual
2025-01-12,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-01-19,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-01-26,2.968749868159648e-07,2025,1,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-02-02,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-02-09,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-02-16,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-02-23,2.968749868159648e-07,2025,2,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-03-02,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-03-09,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-03-16,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-03-23,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-03-30,2.968749868159648e-07,2025,3,Australia,Cash flow from Investing Activities,Machinery & Equipment (AU),1630005.0,3,5,Predicted
2025-01-05,19993.50000000003,2025,1,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Actual
2025-01-12,29656.53637725,2025,1,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-01-19,29656.53637725,2025,1,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-01-26,29656.53637725,2025,1,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-02-02,35885.073486625,2025,2,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-02-09,35885.073486625,2025,2,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-02-16,17762.9436038125,2025,2,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-02-23,11918.889892875,2025,2,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-03-02,2.968749868159648e-07,2025,3,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-03-09,-12282.035888375,2025,3,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-03-16,-12282.035888375,2025,3,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-03-23,-12282.035888375,2025,3,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-03-30,-19097.614013375,2025,3,Australia,Cash flow from Operating Activities,Accounts Payable (AU),2110005.0,2,5,Predicted
2025-01-05,-26664.72999999998,2025,1,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Actual
2025-01-12,-19247.606200875,2025,1,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-01-19,-12583.71362275,2025,1,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-01-26,12426.1389163125,2025,1,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-02-02,29656.53637725,2025,2,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-02-09,44847.18481475,2025,2,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-02-16,23731.3215335,2025,2,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-02-23,-19379.449950875,2025,2,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-03-02,-49398.20581025,2025,3,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-03-09,-88369.6315915,2025,3,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-03-16,-88369.6315915,2025,3,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-03-23,-76021.7253415,2025,3,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-03-30,-76021.7253415,2025,3,Australia,Cash flow from Operating Activities,Accounts Receivable (AU),1200005.0,2,5,Predicted
2025-01-05,0.0,2025,1,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Actual
2025-01-12,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-01-19,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-01-26,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-02-02,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-02-09,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-02-16,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-02-23,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-03-02,-9631.1638180625,2025,3,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-03-09,-16647.64331025,2025,3,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-03-16,17762.9436038125,2025,3,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-03-23,32170.385986625,2025,3,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-03-30,63336.0246585,2025,3,Australia,Cash flow from Operating Activities,Accrued Liabilities (AU),2200005.0,2,5,Predicted
2025-01-05,0.0,2025,1,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Actual
2025-01-12,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-01-19,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-01-26,2.968749868159648e-07,2025,1,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-02-02,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-02-09,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-02-16,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
2025-02-23,2.968749868159648e-07,2025,2,Australia,Cash flow from Operating Activities,Accrued Payroll (AU),2290005.0,2,5,Predicted
