period_id,period,year,month,company_id,company_name
1,P1-20,2020,1,12,unimed
2,P2-20,2020,2,12,unimed
3,P3-20,2020,3,12,unimed
4,P4-20,2020,4,12,unimed
5,P5-20,2020,5,12,unimed
6,P6-20,2020,6,12,unimed
7,P7-20,2020,7,12,unimed
8,P8-20,2020,8,12,unimed
9,P9-20,2020,9,12,unimed
10,P10-20,2020,10,12,unimed
11,P11-20,2020,11,12,unimed
12,P12-20,2020,12,12,unimed
13,P1-21,2021,1,12,unimed
14,P2-21,2021,2,12,unimed
15,P3-21,2021,3,12,unimed
16,P4-21,2021,4,12,unimed
17,P5-21,2021,5,12,unimed
18,P6-21,2021,6,12,unimed
19,P7-21,2021,7,12,unimed
20,P8-21,2021,8,12,unimed
21,P9-21,2021,9,12,unimed
22,P10-21,2021,10,12,unimed
23,P11-21,2021,11,12,unimed
24,P12-21,2021,12,12,unimed
25,P1-22,2022,1,12,unimed
26,P2-22,2022,2,12,unimed
27,P3-22,2022,3,12,unimed
28,P4-22,2022,4,12,unimed
29,P5-22,2022,5,12,unimed
30,P6-22,2022,6,12,unimed
31,P7-22,2022,7,12,unimed
32,P8-22,2022,8,12,unimed
33,P9-22,2022,9,12,unimed
34,P10-22,2022,10,12,unimed
35,P11-22,2022,11,12,unimed
36,P12-22,2022,12,12,unimed
37,P1-23,2023,1,12,unimed
38,P2-23,2023,2,12,unimed
39,P3-23,2023,3,12,unimed
40,P4-23,2023,4,12,unimed
41,P5-23,2023,5,12,unimed
42,P6-23,2023,6,12,unimed
43,P7-23,2023,7,12,unimed
44,P8-23,2023,8,12,unimed
45,P9-23,2023,9,12,unimed
46,P10-23,2023,10,12,unimed
47,P11-23,2023,11,12,unimed
48,P12-23,2023,12,12,unimed
49,P1-24,2024,1,12,unimed
50,P2-24,2024,2,12,unimed
51,P3-24,2024,3,12,unimed
52,P4-24,2024,4,12,unimed
53,P5-24,2024,5,12,unimed
54,P6-24,2024,6,12,unimed
55,P7-24,2024,7,12,unimed
56,P8-24,2024,8,12,unimed
57,P9-24,2024,9,12,unimed
58,P10-24,2024,10,12,unimed
59,P11-24,2024,11,12,unimed
