date,wtd,year,month,country_name,category_name,gl_name,gl_number,metric_order,country_id,type
2024-05-05,626809.0268643537,2024,5,China,Cash & cash equivalent at beginning of period,,,1,7,Actual
2024-05-12,504430.2390442,2024,5,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-05-19,504430.2390442,2024,5,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-05-26,504430.2390442,2024,5,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-06-02,504430.2390442,2024,6,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-06-09,504430.2390442,2024,6,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-06-16,511616.3640442,2024,6,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-06-23,511616.3640442,2024,6,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-06-30,511616.3640442,2024,6,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-07-07,994974.5515442,2024,7,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-07-14,994974.5515442,2024,7,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-07-21,994974.5515442,2024,7,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-07-28,994974.5515442,2024,7,China,Cash & cash equivalent at beginning of period,,,1,7,Predicted
2024-05-05,609538.5252920703,2024,5,China,Cash & cash equivalent at end of period,,,5,7,Actual
2024-05-12,504430.2390442,2024,5,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-05-19,504430.2390442,2024,5,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-05-26,504430.2390442,2024,5,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-06-02,504430.2390442,2024,6,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-06-09,504430.2390442,2024,6,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-06-16,504430.2390442,2024,6,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-06-23,504430.2390442,2024,6,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-06-30,504430.2390442,2024,6,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-07-07,504430.2390442,2024,7,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-07-14,511616.3640442,2024,7,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-07-21,511616.3640442,2024,7,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-07-28,511616.3640442,2024,7,China,Cash & cash equivalent at end of period,,,5,7,Predicted
2024-05-05,0.0,2024,5,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Actual
2024-05-12,1.0546898465690902e-08,2024,5,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-05-19,1.0546898465690902e-08,2024,5,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-05-26,1.0546898465690902e-08,2024,5,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-06-02,1.0546898465690902e-08,2024,6,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-06-09,1.0546898465690902e-08,2024,6,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-06-16,1.0546898465690902e-08,2024,6,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-06-23,1.0546898465690902e-08,2024,6,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-06-30,1.0546898465690902e-08,2024,6,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-07-07,1.0546898465690902e-08,2024,7,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-07-14,1.0546898465690902e-08,2024,7,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-07-21,1.0546898465690902e-08,2024,7,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-07-28,1.0546898465690902e-08,2024,7,China,Cash flow from Investing Activities,Furniture & Fixtures,10604.0,3,7,Predicted
2024-05-05,-1204.74991872,2024,5,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Actual
2024-05-12,-483.57575987714836,2024,5,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-05-19,-483.57575987714836,2024,5,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-05-26,-483.57575987714836,2024,5,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-06-02,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-06-09,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-06-16,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-06-23,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-06-30,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-07-07,13514.627716075,2024,7,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-07-14,-40485.63986205,2024,7,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-07-21,-89997.2531433,2024,7,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-07-28,-124162.7218933,2024,7,China,Cash flow from Operating Activities,Accounts Payable,20100.0,2,7,Predicted
2024-05-05,25713.32783000998,2024,5,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Actual
2024-05-12,17498.0437317,2024,5,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-05-19,17498.0437317,2024,5,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-05-26,17498.0437317,2024,5,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-06-02,17498.0437317,2024,6,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-06-09,17498.0437317,2024,6,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-06-16,17498.0437317,2024,6,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-06-23,17498.0437317,2024,6,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-06-30,17498.0437317,2024,6,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-07-07,17498.0437317,2024,7,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-07-14,17498.0437317,2024,7,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-07-21,10594.86795045,2024,7,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-07-28,10594.86795045,2024,7,China,Cash flow from Operating Activities,Accounts Receivable,10200.0,2,7,Predicted
2024-05-05,0.0,2024,5,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Actual
2024-05-12,1.0546898465690902e-08,2024,5,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-05-19,1.0546898465690902e-08,2024,5,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-05-26,1.0546898465690902e-08,2024,5,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-06-02,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-06-09,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-06-16,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
2024-06-23,1.0546898465690902e-08,2024,6,China,Cash flow from Operating Activities,Accounts Receivable- Other,10203.0,2,7,Predicted
