period_id,period,year,month,company_id,company_name
1,P1-20,2020,1,11,venuplus
2,P2-20,2020,2,11,venuplus
3,P3-20,2020,3,11,venuplus
4,P4-20,2020,4,11,venuplus
5,P5-20,2020,5,11,venuplus
6,P6-20,2020,6,11,venuplus
7,P7-20,2020,7,11,venuplus
8,P8-20,2020,8,11,venuplus
9,P9-20,2020,9,11,venuplus
10,P10-20,2020,10,11,venuplus
11,P11-20,2020,11,11,venuplus
12,P12-20,2020,12,11,venuplus
13,P1-21,2021,1,11,venuplus
14,P2-21,2021,2,11,venuplus
15,P3-21,2021,3,11,venuplus
16,P4-21,2021,4,11,venuplus
17,P5-21,2021,5,11,venuplus
18,P6-21,2021,6,11,venuplus
19,P7-21,2021,7,11,venuplus
20,P8-21,2021,8,11,venuplus
21,P9-21,2021,9,11,venuplus
22,P10-21,2021,10,11,venuplus
23,P11-21,2021,11,11,venuplus
24,P12-21,2021,12,11,venuplus
25,P1-22,2022,1,11,venuplus
26,P2-22,2022,2,11,venuplus
27,P3-22,2022,3,11,venuplus
28,P4-22,2022,4,11,venuplus
29,P5-22,2022,5,11,venuplus
30,P6-22,2022,6,11,venuplus
31,P7-22,2022,7,11,venuplus
32,P8-22,2022,8,11,venuplus
33,P9-22,2022,9,11,venuplus
34,P10-22,2022,10,11,venuplus
35,P11-22,2022,11,11,venuplus
36,P12-22,2022,12,11,venuplus
37,P1-23,2023,1,11,venuplus
38,P2-23,2023,2,11,venuplus
39,P3-23,2023,3,11,venuplus
40,P4-23,2023,4,11,venuplus
41,P5-23,2023,5,11,venuplus
42,P6-23,2023,6,11,venuplus
43,P7-23,2023,7,11,venuplus
44,P8-23,2023,8,11,venuplus
45,P9-23,2023,9,11,venuplus
46,P10-23,2023,10,11,venuplus
47,P11-23,2023,11,11,venuplus
48,P12-23,2023,12,11,venuplus
49,P1-24,2024,1,11,venuplus
50,P2-24,2024,2,11,venuplus
51,P3-24,2024,3,11,venuplus
52,P4-24,2024,4,11,venuplus
53,P5-24,2024,5,11,venuplus
54,P6-24,2024,6,11,venuplus
55,P7-24,2024,7,11,venuplus
56,P8-24,2024,8,11,venuplus
57,P9-24,2024,9,11,venuplus
58,P10-24,2024,10,11,venuplus
