week_date,year,month,week_of_year,week_of_month,period,category_name,subcategory_name,metric_order,gl_name,gl_number,mtd,ytd,ttm,wtd,predicted_wtd
2020-01-05,2020,1,1,1,P1-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8563.21,-8563.21,0,0
2020-01-12,2020,1,2,2,P1-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8563.21,-8563.21,0,0
2020-01-19,2020,1,3,3,P1-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8563.21,-8563.21,0,0
2020-01-26,2020,1,4,4,P1-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-8563.21,-8563.21,0,0
2020-02-02,2020,2,5,1,P2-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17126.42,-17126.42,0,0
2020-02-09,2020,2,6,2,P2-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17126.42,-17126.42,0,0
2020-02-16,2020,2,7,3,P2-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17126.42,-17126.42,0,0
2020-02-23,2020,2,8,4,P2-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-17126.42,-17126.42,0,0
2020-03-01,2020,3,9,1,P3-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25689.63,-25689.63,0,0
2020-03-08,2020,3,10,2,P3-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25689.63,-25689.63,0,0
2020-03-15,2020,3,11,3,P3-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25689.63,-25689.63,0,0
2020-03-22,2020,3,12,4,P3-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25689.63,-25689.63,0,0
2020-03-29,2020,3,13,5,P3-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-25689.63,-25689.63,0,0
2020-04-05,2020,4,14,1,P4-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34252.84,-34252.84,0,0
2020-04-12,2020,4,15,2,P4-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34252.84,-34252.84,0,0
2020-04-19,2020,4,16,3,P4-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34252.84,-34252.84,0,0
2020-04-26,2020,4,17,4,P4-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-34252.84,-34252.84,0,0
2020-05-03,2020,5,18,1,P5-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42816.05,-42816.05,0,0
2020-05-10,2020,5,19,2,P5-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42816.05,-42816.05,0,0
2020-05-17,2020,5,20,3,P5-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42816.05,-42816.05,0,0
2020-05-24,2020,5,21,4,P5-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42816.05,-42816.05,0,0
2020-05-31,2020,5,22,5,P5-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-42816.05,-42816.05,0,0
2020-06-07,2020,6,23,1,P6-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-11.08,-51390.34,-51390.34,-2.552995392,0
2020-06-14,2020,6,24,2,P6-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-11.08,-51390.34,-51390.34,-2.552995392,-3.734171922
2020-06-21,2020,6,25,3,P6-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-11.08,-51390.34,-51390.34,-2.552995392,-2.963778064
2020-06-28,2020,6,26,4,P6-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,-11.08,-51390.34,-51390.34,-2.552995392,-2.695854989
2020-07-05,2020,7,27,1,P7-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59964.63,-59964.63,0,-2.602678268
2020-07-12,2020,7,28,2,P7-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59964.63,-59964.63,0,1.16389811
2020-07-19,2020,7,29,3,P7-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59964.63,-59964.63,0,0.404773684
2020-07-26,2020,7,30,4,P7-20,Liabilities,Cash flow from Operating Activities,2,401K-EMPLOYEE DEDUCTION,20227,0,-59964.63,-59964.63,0,0.140769827
