entity_id,period_id,period,year,month,entity_period_id,company_id,company_name
1,1,P1-20,2020,1,1001,10,xrg
1,2,P2-20,2020,2,1002,10,xrg
1,3,P3-20,2020,3,1003,10,xrg
1,4,P4-20,2020,4,1004,10,xrg
1,5,P5-20,2020,5,1005,10,xrg
1,6,P6-20,2020,6,1006,10,xrg
1,7,P7-20,2020,7,1007,10,xrg
1,8,P8-20,2020,8,1008,10,xrg
1,9,P9-20,2020,9,1009,10,xrg
1,10,P10-20,2020,10,1010,10,xrg
1,11,P11-20,2020,11,1011,10,xrg
1,12,P12-20,2020,12,1012,10,xrg
1,13,P1-21,2021,1,1013,10,xrg
1,14,P2-21,2021,2,1014,10,xrg
1,15,P3-21,2021,3,1015,10,xrg
1,16,P4-21,2021,4,1016,10,xrg
1,17,P5-21,2021,5,1017,10,xrg
1,18,P6-21,2021,6,1018,10,xrg
1,19,P7-21,2021,7,1019,10,xrg
1,20,P8-21,2021,8,1020,10,xrg
1,21,P9-21,2021,9,1021,10,xrg
1,22,P10-21,2021,10,1022,10,xrg
1,23,P11-21,2021,11,1023,10,xrg
1,24,P12-21,2021,12,1024,10,xrg
1,25,P1-22,2022,1,1025,10,xrg
1,26,P2-22,2022,2,1026,10,xrg
1,27,P3-22,2022,3,1027,10,xrg
1,28,P4-22,2022,4,1028,10,xrg
1,29,P5-22,2022,5,1029,10,xrg
1,30,P6-22,2022,6,1030,10,xrg
1,31,P7-22,2022,7,1031,10,xrg
1,32,P8-22,2022,8,1032,10,xrg
1,33,P9-22,2022,9,1033,10,xrg
1,34,P10-22,2022,10,1034,10,xrg
1,35,P11-22,2022,11,1035,10,xrg
1,36,P12-22,2022,12,1036,10,xrg
1,37,P1-23,2023,1,1037,10,xrg
1,38,P2-23,2023,2,1038,10,xrg
1,39,P3-23,2023,3,1039,10,xrg
1,40,P4-23,2023,4,1040,10,xrg
1,41,P5-23,2023,5,1041,10,xrg
1,42,P6-23,2023,6,1042,10,xrg
1,43,P7-23,2023,7,1043,10,xrg
1,44,P8-23,2023,8,1044,10,xrg
1,45,P9-23,2023,9,1045,10,xrg
1,46,P10-23,2023,10,1046,10,xrg
1,47,P11-23,2023,11,1047,10,xrg
1,48,P12-23,2023,12,1048,10,xrg
1,49,P1-24,2024,1,1049,10,xrg
1,50,P2-24,2024,2,1050,10,xrg
1,51,P3-24,2024,3,1051,10,xrg
1,52,P4-24,2024,4,1052,10,xrg
1,53,P5-24,2024,5,1053,10,xrg
1,54,P6-24,2024,6,1054,10,xrg
1,55,P7-24,2024,7,1055,10,xrg
2,1,P1-20,2020,1,2001,10,xrg
2,2,P2-20,2020,2,2002,10,xrg
2,3,P3-20,2020,3,2003,10,xrg
2,4,P4-20,2020,4,2004,10,xrg
2,5,P5-20,2020,5,2005,10,xrg
2,6,P6-20,2020,6,2006,10,xrg
2,7,P7-20,2020,7,2007,10,xrg
2,8,P8-20,2020,8,2008,10,xrg
2,9,P9-20,2020,9,2009,10,xrg
2,10,P10-20,2020,10,2010,10,xrg
2,11,P11-20,2020,11,2011,10,xrg
2,12,P12-20,2020,12,2012,10,xrg
2,13,P1-21,2021,1,2013,10,xrg
2,14,P2-21,2021,2,2014,10,xrg
2,15,P3-21,2021,3,2015,10,xrg
2,16,P4-21,2021,4,2016,10,xrg
2,17,P5-21,2021,5,2017,10,xrg
2,18,P6-21,2021,6,2018,10,xrg
2,19,P7-21,2021,7,2019,10,xrg
2,20,P8-21,2021,8,2020,10,xrg
2,21,P9-21,2021,9,2021,10,xrg
2,22,P10-21,2021,10,2022,10,xrg
2,23,P11-21,2021,11,2023,10,xrg
2,24,P12-21,2021,12,2024,10,xrg
2,25,P1-22,2022,1,2025,10,xrg
2,26,P2-22,2022,2,2026,10,xrg
2,27,P3-22,2022,3,2027,10,xrg
2,28,P4-22,2022,4,2028,10,xrg
2,29,P5-22,2022,5,2029,10,xrg
2,30,P6-22,2022,6,2030,10,xrg
2,31,P7-22,2022,7,2031,10,xrg
2,32,P8-22,2022,8,2032,10,xrg
2,33,P9-22,2022,9,2033,10,xrg
2,34,P10-22,2022,10,2034,10,xrg
2,35,P11-22,2022,11,2035,10,xrg
2,36,P12-22,2022,12,2036,10,xrg
2,37,P1-23,2023,1,2037,10,xrg
2,38,P2-23,2023,2,2038,10,xrg
2,39,P3-23,2023,3,2039,10,xrg
2,40,P4-23,2023,4,2040,10,xrg
2,41,P5-23,2023,5,2041,10,xrg
2,42,P6-23,2023,6,2042,10,xrg
2,43,P7-23,2023,7,2043,10,xrg
2,44,P8-23,2023,8,2044,10,xrg
2,45,P9-23,2023,9,2045,10,xrg
2,46,P10-23,2023,10,2046,10,xrg
2,47,P11-23,2023,11,2047,10,xrg
2,48,P12-23,2023,12,2048,10,xrg
2,49,P1-24,2024,1,2049,10,xrg
2,50,P2-24,2024,2,2050,10,xrg
2,51,P3-24,2024,3,2051,10,xrg
2,52,P4-24,2024,4,2052,10,xrg
2,53,P5-24,2024,5,2053,10,xrg
2,54,P6-24,2024,6,2054,10,xrg
2,55,P7-24,2024,7,2055,10,xrg
3,1,P1-20,2020,1,3001,10,xrg
3,2,P2-20,2020,2,3002,10,xrg
3,3,P3-20,2020,3,3003,10,xrg
